::1 - - [24/Sep/2023:19:01:21 +0000] "GET /api/user/get-user HTTP/1.1" 401 23 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:19:03:07 +0000] "GET /api/user/get-user HTTP/1.1" 401 23 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:19:03:08 +0000] "GET /api/user/get-user HTTP/1.1" 401 23 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:19:03:17 +0000] "GET /api/user/get-user HTTP/1.1" 200 291 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:19:11:13 +0000] "GET /api/services/all-posts?take=10&skip=0 HTTP/1.1" 401 23 "-" "PostmanRuntime/7.33.0"
::ffff:192.168.0.101 - - [24/Sep/2023:19:16:58 +0000] "GET /api/user/get-follows HTTP/1.1" 401 25 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:17:01 +0000] "GET /api/services/all-posts?take=20&skip=0 HTTP/1.1" 401 25 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:17:01 +0000] "GET /api/user/token-valid HTTP/1.1" 401 25 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:17:01 +0000] "GET /api/chat/get-all-chats HTTP/1.1" 401 25 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:17:01 +0000] "GET /api/user/get-user HTTP/1.1" 401 25 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:17:02 +0000] "PUT /api/user/update-notification-id HTTP/1.1" 401 25 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:17:14 +0000] "GET /api/services/all-posts?take=10&skip=0 HTTP/1.1" 401 25 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:17:16 +0000] "GET /api/services/all-posts?take=10&skip=0 HTTP/1.1" 401 25 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:17:18 +0000] "GET /api/services/all-posts?take=10&skip=0 HTTP/1.1" 401 25 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:17:19 +0000] "GET /api/services/all-posts?take=10&skip=0 HTTP/1.1" 401 25 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:17:24 +0000] "GET /api/services/all-posts?take=10&skip=0 HTTP/1.1" 401 25 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:17:51 +0000] "POST /api/auth/login HTTP/1.1" 200 521 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:17:53 +0000] "GET /api/user/token-valid HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:17:53 +0000] "GET /api/chat/get-all-chats HTTP/1.1" 401 22 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:17:53 +0000] "GET /api/user/get-user HTTP/1.1" 401 22 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:17:53 +0000] "PUT /api/user/update-notification-id HTTP/1.1" 401 22 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:17:54 +0000] "GET /api/services/all-posts?take=20&skip=0 HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:18:03 +0000] "POST /api/auth/login HTTP/1.1" 200 521 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:18:07 +0000] "GET /api/services/all-posts?take=20&skip=0 HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:18:08 +0000] "GET /api/user/get-user HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:18:08 +0000] "GET /api/chat/get-all-chats HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:18:12 +0000] "PUT /api/user/update-notification-id HTTP/1.1" 200 30 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:18:22 +0000] "GET /api/user/get-follows HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:18:24 +0000] "GET /api/user/token-valid HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:18:27 +0000] "GET /api/chat/get-all-chats HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:18:27 +0000] "GET /api/services/all-posts?take=20&skip=0 HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:18:27 +0000] "GET /api/user/get-user HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:18:43 +0000] "PUT /api/user/update-notification-id HTTP/1.1" 200 30 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:45:26 +0000] "GET /api/user/token-valid HTTP/1.1" 304 - "-" "okhttp/4.9.2"
